test_case_name,weights,costs,capacity,expected_joy,expected_items
Standard Scenario,"10|20|30","60|100|120",50,220,"(20,100)|(30,120)"
All Items Fit,"5|10|15","10|30|20",100,60,"(5,10)|(10,30)|(15,20)"
Greedy Trap (Joy),"20|15|15","100|70|70",30,140,"(15,70)|(15,70)"
Greedy Trap (Ratio),"10|20|30","60|100|120",50,220,"(20,100)|(30,120)"
Empty Input,"","",100,0,""
Zero Capacity,"10|20|30","60|100|120",0,0,""
Items Too Heavy,"10|20|30","60|100|120",9,0,""
Zero Weight Item,"10|0|20","100|50|150",25,200,"(0,50)|(20,150)"
Large Capacity (MLE),"10|20|30","60|100|120",1000000000,280,"(10,60)|(20,100)|(30,120)"
Large N (TLE),"34|17|34|15|23|17|28|18|30|26|30|22|29|29|13|16|17|21|10|24|25|33|21|14|29|25|12|17|26|35|23|29|23|31|23|20|16|26|34|30|15|28|14|21|13|23|33|20|10|22|18|23|27|27|31|35|35|25|29|22|15|20|28|26|14|18|13|14|29|31|26|35|27|10|17|20|15|30|22|29|23|22|22|31|25|27|26|17|30|26|16|26|25|27|13|24|20|28|26|31|31|12|18|35|12|33|11|27|18|30|28|29|28|20|20|31|28|31|17|17|20|27|23|11|26|12|28|30|28|25|24|22|21|25|25|29|23|14|14|20|31|20|11|12|14|29|30|31|18|30|11|25|29|21|20|20|28|25|31|10|26|16|28|24|11|22|33|23|31|15|16|26|13|22|21|17|28|15|26|11|16|15|11|13|11|23|16|17|16|23|26|33|27|20|17|20|33|13|27|12|18|32|27|28|10|23|23|29|13|32|20|17|24|13|26|21|12|31|20|12|17|34|13|21|33|24|30|16|20|22|10|13|23|28|16|15|33|26|22|27|14|26|35|32|20|35|13|12|34|35|12|35|28|32|26|35|34|24|16|13|15|29|25|14|26|11|21|20|25|17|20|20|21|12|15|12|14|15|21|28|20|34|14|33|32|18|32|31|35|11|28|28|30|11|26|16|17|21|29|16|23|31|21|20|26|10|35|23|30|21|24|12|35|17|23|25|26|16|13|17|17|17|23|11|12|26|22|21|21|14|11|20|13|21|26|20|28|23|24|33|17|32|18|12|15|28|12|13|17|24|32|22|13|24|30|23|33|29|30|34|12|14|11|23|27|20|23|29|34|21|21|13|25|27|29|25|18|25|20|21|25|33|27|18|22|24|23|21|24|32|17|18|11|11|17|11|18|29|31|26|35|13|14|31|24|23|30|18|14|30|35|15|30|13|33|35|11|12|25|30|26|26|15|17|23|15|22|12|10|13|28|12|16|15|29|16|34|12|15|12|27|13|11|12|13|13|31|27|15|21|18|30|29","85|53|91|45|58|51|69|56|75|63|76|54|71|71|41|45|52|58|28|58|62|82|54|44|79|61|38|53|70|87|56|79|56|80|56|49|49|64|84|76|47|69|42|51|40|57|85|50|29|54|55|60|67|68|80|95|87|63|78|55|45|52|70|64|44|56|41|44|79|82|69|90|68|32|52|50|48|74|59|78|62|53|56|84|61|67|68|53|74|69|50|64|65|68|41|62|54|72|69|78|80|38|55|87|36|88|32|69|55|78|69|72|72|54|49|84|72|80|52|50|49|67|56|31|69|35|73|81|71|61|65|55|51|68|65|78|63|44|44|49|83|53|35|34|43|79|80|78|55|78|35|68|72|57|50|56|73|68|83|32|65|51|69|59|31|56|83|62|80|44|51|69|41|59|51|50|76|44|69|35|46|44|32|40|31|57|49|53|50|62|69|87|72|54|50|49|82|38|67|38|55|85|68|73|31|58|63|72|41|80|52|54|65|37|71|51|38|77|49|35|50|89|41|57|83|62|80|50|49|53|29|37|61|69|49|42|86|64|53|72|43|64|87|86|52|95|41|34|84|87|38|87|69|86|70|87|84|61|45|37|47|78|68|44|64|35|57|54|61|50|49|52|57|34|43|34|40|43|51|72|53|84|43|83|80|55|84|82|90|31|76|73|74|31|69|45|53|57|72|46|57|83|51|48|64|32|87|61|74|56|61|38|87|50|57|68|65|49|37|53|52|53|61|35|35|69|55|57|51|40|32|53|37|58|69|53|69|61|62|83|50|80|52|38|43|69|38|41|50|65|84|59|41|61|74|61|82|79|74|85|34|43|31|62|72|49|63|78|84|57|57|37|61|68|72|68|56|68|54|51|61|88|72|55|55|62|61|57|62|85|52|56|32|35|53|32|52|78|80|69|87|37|40|77|65|57|81|55|43|74|90|43|80|41|82|87|35|38|65|74|69|65|48|52|61|47|53|34|29|37|72|38|46|44|72|49|84|38|47|38|69|41|35|35|37|41|84|68|42|51|52|74|72",5000,13583,"(17,53)|(15,45)|(17,51)|(18,56)|(13,41)|(16,45)|(17,52)|(10,28)|(14,44)|(12,38)|(17,53)|(16,49)|(15,47)|(14,42)|(13,40)|(10,29)|(18,55)|(15,45)|(14,44)|(18,56)|(13,41)|(14,44)|(10,32)|(17,52)|(15,48)|(17,53)|(16,50)|(13,41)|(12,38)|(18,55)|(12,36)|(11,32)|(18,55)|(17,52)|(17,50)|(11,31)|(12,35)|(14,44)|(14,44)|(11,35)|(12,34)|(14,43)|(11,35)|(10,32)|(16,51)|(11,31)|(15,44)|(16,51)|(13,41)|(15,44)|(11,35)|(16,46)|(15,44)|(11,32)|(13,40)|(11,31)|(16,49)|(17,53)|(16,50)|(17,50)|(13,38)|(12,38)|(18,55)|(13,41)|(12,38)|(17,54)|(13,37)|(12,38)|(17,50)|(13,41)|(16,50)|(10,29)|(13,37)|(16,49)|(15,42)|(14,43)|(13,41)|(12,34)|(12,34)|(15,47)|(14,44)|(11,35)|(12,38)|(15,43)|(14,40)|(15,43)|(11,31)|(16,45)|(17,53)|(16,46)|(10,32)|(12,38)|(17,50)|(16,49)|(13,37)|(17,53)|(17,52)|(17,53)|(11,35)|(12,35)|(14,40)|(11,32)|(13,37)|(18,52)|(12,38)|(15,43)|(12,38)|(13,41)|(12,34)|(14,43)|(11,31)|(13,37)|(14,43)|(18,56)|(11,32)|(11,35)|(17,53)|(11,32)|(18,52)|(13,37)|(14,40)|(15,43)|(18,55)|(14,43)|(15,43)|(11,35)|(12,38)|(17,52)|(15,47)|(12,34)|(10,29)|(13,37)|(12,38)|(16,46)|(15,44)|(16,49)|(12,38)|(15,47)|(12,38)|(13,41)|(11,35)|(12,35)|(13,37)|(13,41)|(15,42)|(18,52)|(21,51)|(20,49)|(22,54)|(20,49)|(21,51)|(22,55)|(20,49)|(21,51)|(20,49)|(20,48)|(21,51)|(20,48)|(20,53)|(20,49)|(21,51)|(22,59)|(21,51)|(21,51)|(20,53)|(21,58)|(20,53)|(22,55)|(21,51)|(21,57)|(21,51)|(20,53)|(22,59)|(20,49)|(21,51)"